kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,TENJOLAYA,GUNUNG MALANG,DESA,LAKI-LAKI,3419,2019
KABUPATEN BOGOR,TENJOLAYA,GUNUNG MALANG,DESA,PEREMPUAN,3247,2019
KABUPATEN BOGOR,TENJOLAYA,TAPOS 2,DESA,LAKI-LAKI,3829,2019
KABUPATEN BOGOR,TENJOLAYA,TAPOS 2,DESA,PEREMPUAN,3562,2019
KABUPATEN BOGOR,TENJOLAYA,SITU DAUN,DESA,LAKI-LAKI,4687,2019
KABUPATEN BOGOR,TENJOLAYA,SITU DAUN,DESA,PEREMPUAN,4222,2019
KABUPATEN BOGOR,TENJOLAYA,CIBITUNG TENGAH,DESA,LAKI-LAKI,5360,2019
KABUPATEN BOGOR,TENJOLAYA,CIBITUNG TENGAH,DESA,PEREMPUAN,5070,2019
KABUPATEN BOGOR,TENJOLAYA,CINANGNENG,DESA,LAKI-LAKI,4758,2019
KABUPATEN BOGOR,TENJOLAYA,CINANGNENG,DESA,PEREMPUAN,4412,2019
KABUPATEN BOGOR,TENJOLAYA,GUNUNG MULYA,DESA,LAKI-LAKI,3477,2019
KABUPATEN BOGOR,TENJOLAYA,GUNUNG MULYA,DESA,PEREMPUAN,3338,2019
KABUPATEN BOGOR,DRAMAGA,PURWASARI,DESA,LAKI-LAKI,4785,2019
KABUPATEN BOGOR,DRAMAGA,PURWASARI,DESA,PEREMPUAN,4532,2019
KABUPATEN BOGOR,DRAMAGA,PETIR,DESA,LAKI-LAKI,3612,2019
KABUPATEN BOGOR,DRAMAGA,PETIR,DESA,PEREMPUAN,3462,2019
KABUPATEN BOGOR,DRAMAGA,SUKADAMAI,DESA,LAKI-LAKI,4252,2019
KABUPATEN BOGOR,DRAMAGA,SUKADAMAI,DESA,PEREMPUAN,4019,2019
KABUPATEN BOGOR,DRAMAGA,SUKAWENING,DESA,LAKI-LAKI,2409,2019
KABUPATEN BOGOR,DRAMAGA,SUKAWENING,DESA,PEREMPUAN,2327,2019
KABUPATEN BOGOR,DRAMAGA,NEGLASARI,DESA,LAKI-LAKI,7243,2019
KABUPATEN BOGOR,DRAMAGA,NEGLASARI,DESA,PEREMPUAN,6659,2019
KABUPATEN BOGOR,DRAMAGA,SINAR SARI,DESA,LAKI-LAKI,4400,2019
KABUPATEN BOGOR,DRAMAGA,SINAR SARI,DESA,PEREMPUAN,4022,2019
KABUPATEN BOGOR,DRAMAGA,CIHERANG,DESA,LAKI-LAKI,4675,2019
KABUPATEN BOGOR,DRAMAGA,CIHERANG,DESA,PEREMPUAN,4435,2019
KABUPATEN BOGOR,DRAMAGA,DRAMAGA,DESA,LAKI-LAKI,4969,2019
KABUPATEN BOGOR,DRAMAGA,DRAMAGA,DESA,PEREMPUAN,4615,2019
KABUPATEN BOGOR,DRAMAGA,BABAKAN,KELURAHAN,LAKI-LAKI,7657,2019
