id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,status_pemerintahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021006,SADENG,32.01.39,LEUWISADENG,32.01.39.2007,SADENG,DESA,PEREMPUAN,3303,JIWA,2019
57,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021007,KALONG II,32.01.39,LEUWISADENG,32.01.39.2006,KALONG II,DESA,LAKI-LAKI,5985,JIWA,2019
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021007,KALONG II,32.01.39,LEUWISADENG,32.01.39.2006,KALONG II,DESA,PEREMPUAN,5251,JIWA,2019
59,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021008,KALONG I,32.01.39,LEUWISADENG,32.01.39.2005,KALONG I,DESA,LAKI-LAKI,5241,JIWA,2019
60,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021008,KALONG I,32.01.39,LEUWISADENG,32.01.39.2005,KALONG I,DESA,PEREMPUAN,4937,JIWA,2019
61,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030001,CIBUNIAN,32.01.17,PAMIJAHAN,32.01.17.2002,CIBUNIAN,DESA,LAKI-LAKI,2655,JIWA,2019
62,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030001,CIBUNIAN,32.01.17,PAMIJAHAN,32.01.17.2002,CIBUNIAN,DESA,PEREMPUAN,2614,JIWA,2019
63,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030002,PURWABAKTI,32.01.17,PAMIJAHAN,32.01.17.2001,PURWABAKTI,DESA,LAKI-LAKI,1878,JIWA,2019
64,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030002,PURWABAKTI,32.01.17,PAMIJAHAN,32.01.17.2001,PURWABAKTI,DESA,PEREMPUAN,1826,JIWA,2019
65,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030003,CIASMARA,32.01.17,PAMIJAHAN,32.01.17.2015,CIASMARA,DESA,LAKI-LAKI,5838,JIWA,2019
66,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030003,CIASMARA,32.01.17,PAMIJAHAN,32.01.17.2015,CIASMARA,DESA,PEREMPUAN,5282,JIWA,2019
67,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030004,CIASIHAN,32.01.17,PAMIJAHAN,32.01.17.2013,CIASIHAN,DESA,LAKI-LAKI,5864,JIWA,2019
68,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030004,CIASIHAN,32.01.17,PAMIJAHAN,32.01.17.2013,CIASIHAN,DESA,PEREMPUAN,5314,JIWA,2019
69,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030005,GUNUNG SARI,32.01.17,PAMIJAHAN,32.01.17.2014,GUNUNGSARI,DESA,LAKI-LAKI,2921,JIWA,2019
70,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030005,GUNUNG SARI,32.01.17,PAMIJAHAN,32.01.17.2014,GUNUNGSARI,DESA,PEREMPUAN,2880,JIWA,2019
71,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030006,GUNUNG BUNDER 2,32.01.17,PAMIJAHAN,32.01.17.2005,GUNUNGBUNDER II,DESA,LAKI-LAKI,2927,JIWA,2019
72,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030006,GUNUNG BUNDER 2,32.01.17,PAMIJAHAN,32.01.17.2005,GUNUNGBUNDER II,DESA,PEREMPUAN,2869,JIWA,2019
73,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030007,GUNUNG BUNDER 1,32.01.17,PAMIJAHAN,32.01.17.2010,GUNUNGBUNDER I,DESA,LAKI-LAKI,1758,JIWA,2019
74,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030007,GUNUNG BUNDER 1,32.01.17,PAMIJAHAN,32.01.17.2010,GUNUNGBUNDER I,DESA,PEREMPUAN,1731,JIWA,2019
75,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030008,CIBENING,32.01.17,PAMIJAHAN,32.01.17.2009,CIBENING,DESA,LAKI-LAKI,3728,JIWA,2019
76,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030008,CIBENING,32.01.17,PAMIJAHAN,32.01.17.2009,CIBENING,DESA,PEREMPUAN,3351,JIWA,2019
77,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030009,GUNUNG PICUNG,32.01.17,PAMIJAHAN,32.01.17.2012,GUNUNG PICUNG,DESA,LAKI-LAKI,1703,JIWA,2019
78,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030009,GUNUNG PICUNG,32.01.17,PAMIJAHAN,32.01.17.2012,GUNUNG PICUNG,DESA,PEREMPUAN,1638,JIWA,2019
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030010,CIBITUNG KULON,32.01.17,PAMIJAHAN,32.01.17.2011,CIBITUNG KULON,DESA,LAKI-LAKI,4161,JIWA,2019
80,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030010,CIBITUNG KULON,32.01.17,PAMIJAHAN,32.01.17.2011,CIBITUNG KULON,DESA,PEREMPUAN,4060,JIWA,2019
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030011,CIBITUNG WETAN,32.01.17,PAMIJAHAN,32.01.17.2003,CIBITUNGWETAN,DESA,LAKI-LAKI,2827,JIWA,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030011,CIBITUNG WETAN,32.01.17,PAMIJAHAN,32.01.17.2003,CIBITUNGWETAN,DESA,PEREMPUAN,2837,JIWA,2019
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030012,PAMIJAHAN,32.01.17,PAMIJAHAN,32.01.17.2008,PAMIJAHAN,DESA,LAKI-LAKI,1563,JIWA,2019
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030012,PAMIJAHAN,32.01.17,PAMIJAHAN,32.01.17.2008,PAMIJAHAN,DESA,PEREMPUAN,1471,JIWA,2019
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030013,PASAREAN,32.01.17,PAMIJAHAN,32.01.17.2006,PASAREAN,DESA,LAKI-LAKI,2959,JIWA,2019
86,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030013,PASAREAN,32.01.17,PAMIJAHAN,32.01.17.2006,PASAREAN,DESA,PEREMPUAN,2925,JIWA,2019
87,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030014,GUNUNG MENYAN,32.01.17,PAMIJAHAN,32.01.17.2004,GUNUNGMENYAN,DESA,LAKI-LAKI,2207,JIWA,2019
88,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030014,GUNUNG MENYAN,32.01.17,PAMIJAHAN,32.01.17.2004,GUNUNGMENYAN,DESA,PEREMPUAN,2213,JIWA,2019
89,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030015,CIMAYANG,32.01.17,PAMIJAHAN,32.01.17.2007,CIMAYANG,DESA,LAKI-LAKI,1843,JIWA,2019
90,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030015,CIMAYANG,32.01.17,PAMIJAHAN,32.01.17.2007,CIMAYANG,DESA,PEREMPUAN,1751,JIWA,2019
91,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040001,SITU UDIK,32.01.16,CIBUNGBULANG,32.01.16.2001,SITU UDIK,DESA,LAKI-LAKI,4294,JIWA,2019
92,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040001,SITU UDIK,32.01.16,CIBUNGBULANG,32.01.16.2001,SITU UDIK,DESA,PEREMPUAN,3996,JIWA,2019
93,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040002,SITU ILIR,32.01.16,CIBUNGBULANG,32.01.16.2002,SITU ILIR,DESA,LAKI-LAKI,6933,JIWA,2019
